 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 4.    Time:  19:43:53
 Units: L = cm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   42     20.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   43     21.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   44     21.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   45     22.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   46     22.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   47     23.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   48     23.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   49     24.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   50     24.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   51     25.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   52     25.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   53     26.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   54     26.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   55     27.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   56     27.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   57     28.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   58     28.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   59     29.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   60     29.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   61     30.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   62     30.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   63     31.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   64     31.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   65     32.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   66     32.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   67     33.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   68     33.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   69     34.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   70     34.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   71     35.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   72     35.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   73     36.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   74     36.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   75     37.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   76     37.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   77     38.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   78     38.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   79     39.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   80     39.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   81     40.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   82     40.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   83     41.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   84     41.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   85     42.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   86     42.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   87     43.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   88     43.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   89     44.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   90     44.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   91     45.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   92     45.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   93     46.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   94     46.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   95     47.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   96     47.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   97     48.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   98     48.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
   99     49.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
  100     49.50     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
  101     50.00     0.000     0.420       0.0   0.202E-01     1.000     0.000     1.000     1.000     1.000
end
